"Age","Urban","Tenure","Educ","Expenditure","Marital","Income"
24,2,2,13,3102.3333,5,17064
41,1,1,15,11128.4187,1,252200
70,1,1,15,27080.7855,1,329342
35,1,1,15,11966.6667,3,150000
56,1,1,16,10082,1,168000
81,1,2,11,2354,2,10248
64,1,1,11,6701.6667,1,24250
62,1,1,15,17129.4666,1,0
70,1,2,14,16182.2,1,30894
60,1,2,14,9006.7334,3,34000
39,1,1,11,8574.7521,1,1e+05
88,1,2,11,1980.6667,2,9408
54,1,2,15,12632.7668,1,178000
88,1,2,14,3053.6667,5,59608
59,1,4,13,1824,2,10092
58,1,1,12,11752.1667,1,90000
32,1,4,16,9025.5,1,122000
58,1,1,13,8757,5,0
50,1,1,15,21040.4999,1,206500
56,1,2,13,3371.3667,2,0
34,1,4,16,4840.1668,3,55020
56,1,1,15,15609.3333,3,4000
54,1,2,12,2654.8333,1,20640
40,2,1,15,6825.3334,1,55000
40,1,1,14,11765.9999,1,69688
42,1,1,16,15694.0853,1,309776
38,1,1,11,5840,5,60900
65,1,1,16,29585.7521,1,150000
44,1,2,10,3979.1333,1,0
48,1,2,16,12252.3333,4,128256
43,1,1,16,16872.0854,1,150000
22,1,4,13,1999.3333,5,10402
34,1,1,12,4989.0001,1,15000
50,1,1,15,11745.3333,1,170000
54,1,2,13,4608.2667,1,0
68,1,1,16,11059.3333,1,117747
63,1,2,12,2105.3333,2,4000
57,1,1,14,6440.2999,1,43000
38,1,1,15,9653.3334,1,75000
54,1,1,14,15228.8375,1,130000
72,1,4,13,15428.3333,3,1608
57,1,1,11,7467.7999,2,50401
83,1,2,15,10303.8333,3,41208
54,1,1,13,12581.5667,1,87889
33,1,4,10,7190.0667,1,68000
52,1,2,15,7603.0333,5,71656
56,1,4,12,2204.0001,5,9600
28,1,1,13,4220.0666,5,0
50,2,2,13,2082.3333,2,24914
32,1,2,13,2364,3,32000
77,1,4,10,2340.6667,3,11448
29,1,1,13,8862.3333,1,68000
26,1,4,16,5517.5001,1,65000
37,1,1,16,10829.5001,1,74001
34,1,4,16,7916.3,5,55000
75,1,2,13,5380.3333,1,39420
41,1,1,15,6158.1667,1,0
60,2,1,12,4373.1,1,30700
88,1,2,16,14315.3333,1,78368
31,1,1,12,11500.9333,1,130000
79,2,2,12,4479,3,61668
32,1,4,12,8546.3667,5,26000
73,1,1,13,3381.3334,1,45658
60,1,1,16,14607.3666,1,190000
32,1,4,15,12676.9999,1,110000
66,1,1,13,10067.1667,1,94578
26,1,4,11,4562.1667,3,29540
22,1,4,13,2492.6666,5,2600
27,1,4,15,10013.1666,5,178000
48,1,1,14,19626.9188,1,157000
55,1,4,10,5893.0334,1,19224
69,1,2,16,4511.5667,1,86448
30,1,4,16,11015.7521,5,150002
56,1,1,15,14661.8333,1,264000
45,1,1,11,12692.0854,1,48000
53,1,1,14,3451.5,5,10000
58,1,1,15,5857.3333,5,0
31,1,1,14,12068.0001,1,128000
73,1,4,14,3300,3,20712
44,1,4,10,4815.1667,1,49000
58,1,1,15,12013.2521,1,155000
59,1,4,12,4720.2334,3,24000
69,1,2,13,3198,3,16032
63,1,1,16,8354,1,88508
36,1,1,15,13571.4187,1,130000
54,1,1,13,10730.8334,1,122000
65,1,1,13,4390.1667,3,16472
76,1,4,16,4522,2,24060
45,1,2,13,12643.5333,1,89000
39,1,4,15,11479.1665,1,88011
77,1,4,11,1737,3,13188
69,1,4,15,3549.6667,2,36396
61,1,2,12,2771.9999,3,29700
63,1,1,13,20996.6667,1,154000
68,1,4,13,1894.6667,3,17448
70,1,4,12,5673.3334,3,66196
67,1,2,11,4526,1,49752
21,1,4,12,8465.6,5,5000
72,1,4,15,6578.8333,1,65208
79,1,2,12,1966,2,9445
65,1,1,13,15073.4667,1,96000
55,1,1,11,7165.0333,1,720
29,1,4,13,10292.6666,5,131500
68,1,2,13,7383.6667,1,22321
34,1,1,10,5946.4999,1,4600
58,1,4,12,1252,3,16788
68,1,2,13,7368.2333,1,59816
75,1,2,13,9181.3333,3,142016
54,1,2,15,7854.3333,3,80000
63,1,2,12,20141.1333,1,117000
43,1,1,13,9626.5,1,42000
51,1,4,10,8990.1667,1,93000
27,1,4,15,8181.6667,1,64037
53,1,1,13,7287.4667,1,75000
48,1,1,14,6397.5,1,98000
70,1,4,12,4013.3333,1,30120
52,1,2,12,21630.7667,1,110000
72,1,2,13,8264.1667,1,42961
88,1,4,15,2037.3333,1,66564
32,1,4,12,9846.3334,1,0
88,1,2,13,5721.1999,2,83824
62,1,4,11,2053.8334,5,4188
33,1,1,14,13990.1334,1,122000
35,1,1,14,16541.3334,1,215080
46,1,1,11,7800.0667,1,150150
54,1,4,13,7889.5667,1,51000
79,1,2,12,5399.6667,1,0
59,1,1,15,10852.4666,1,133275
61,1,2,11,3154.6999,1,9230
38,1,1,12,10245.4667,5,0
48,1,1,16,9504.0854,3,1e+05
76,1,2,15,4824.3333,5,16618
32,1,1,13,6934.8334,1,65000
52,2,1,12,9214.7334,1,98000
25,1,4,15,6951.5,1,38000
42,1,1,12,19925.8667,1,150000
75,1,4,15,3287.3333,1,30733
26,1,4,13,6849.5001,1,85000
40,1,1,15,10659.3334,3,119300
80,1,4,16,1973.6667,5,7008
76,1,2,13,38453.3333,1,25900
